Year,Race,Sex,AverageLifeExpectancy,Age-adjusted Death Rate
2015,Black,Female,78.5,710.8
2014,Black,Female,78.5,713.3
2013,Black,Female,78.4,720.6
2012,Black,Female,78.4,723.9
2011,Black,Female,78.2,739.8
2010,Black,Female,78.0,752.5
2009,Black,Female,77.7,763.3
2008,Black,Female,77.3,792.0
2007,Black,Female,77.0,808.1
2006,Black,Female,76.7,828.4
2005,Black,Female,76.2,862.7
2004,Black,Female,76.1,869.8
2003,Black,Female,75.7,898.3
2002,Black,Female,75.4,913.5
2001,Black,Female,75.3,917.9
2000,Black,Female,75.1,927.6
1999,Black,Female,74.7,933.6
1998,Black,Female,74.8,921.0
1997,Black,Female,74.7,921.6
1996,Black,Female,74.2,939.6
1995,Black,Female,73.9,955.7
1994,Black,Female,73.9,954.0
1993,Black,Female,73.7,968.6
1992,Black,Female,73.9,941.4
1991,Black,Female,73.8,961.8
1990,Black,Female,73.6,973.6
1989,Black,Female,73.3,995.8
1988,Black,Female,73.2,"1,005.4"
1987,Black,Female,73.4,988.4
1986,Black,Female,73.4,992.7
1985,Black,Female,73.4,992.2
1984,Black,Female,73.6,974.9
1983,Black,Female,73.5,980.2
1982,Black,Female,73.6,958.8
1981,Black,Female,73.2,985.7
1980,Black,Female,72.5,"1,031.8"
1979,Black,Female,72.9,967.1
1978,Black,Female,72.4,995.1
1977,Black,Female,72.0,"1,012.2"
1976,Black,Female,71.6,"1,031.2"
1975,Black,Female,71.3,"1,042.4"
1974,Black,Female,70.3,"1,109.7"
1973,Black,Female,69.3,"1,179.7"
1972,Black,Female,69.1,"1,181.2"
1971,Black,Female,68.9,"1,196.8"
1970,Black,Female,68.3,"1,228.7"
1969,Black,Female,68.6,"1,274.9"
1968,Black,Female,67.9,"1,325.6"
1967,Black,Female,68.5,"1,209.7"
1966,Black,Female,67.6,"1,274.6"
1965,Black,Female,67.6,"1,266.0"
1964,Black,Female,67.3,"1,284.1"
1963,Black,Female,66.6,"1,347.8"
1962,Black,Female,66.9,"1,324.5"
1961,Black,Female,67.1,"1,295.9"
1960,Black,Female,66.3,"1,340.5"
1959,Black,Female,66.5,"1,305.0"
1958,Black,Female,65.8,"1,354.6"
1957,Black,Female,65.5,"1,374.6"
1956,Black,Female,66.1,"1,331.9"
1955,Black,Female,66.1,"1,326.7"
1954,Black,Female,65.9,"1,326.3"
1953,Black,Female,64.5,"1,434.3"
1952,Black,Female,63.8,"1,465.0"
1951,Black,Female,63.4,"1,508.3"
1950,Black,Female,62.9,"1,574.1"
1949,Black,Female,62.7,"1,572.2"
1948,Black,Female,62.5,"1,580.0"
1947,Black,Female,61.9,"1,586.1"
1946,Black,Female,61.0,"1,556.8"
1945,Black,Female,59.6,"1,634.8"
1944,Black,Female,57.7,"1,733.6"
1943,Black,Female,56.1,"1,837.6"
1942,Black,Female,58.2,"1,803.7"
1941,Black,Female,55.3,"1,945.9"
1940,Black,Female,54.9,"2,057.5"
1939,Black,Female,56.0,"1,992.4"
1938,Black,Female,54.3,"2,057.1"
1937,Black,Female,52.5,"2,158.5"
1936,Black,Female,51.4,"2,278.7"
1935,Black,Female,55.2,"2,136.5"
1934,Black,Female,53.7,"2,213.4"
1933,Black,Female,56.0,"2,174.1"
1932,Black,Female,54.6,"2,256.1"
1931,Black,Female,51.5,"2,362.8"
1930,Black,Female,49.2,"2,530.1"
1929,Black,Female,47.8,"2,664.8"
1928,Black,Female,47.0,"2,703.1"
1927,Black,Female,48.9,"2,565.5"
1926,Black,Female,45.6,"2,778.0"
1925,Black,Female,46.7,"2,741.9"
1924,Black,Female,47.8,"2,693.2"
1923,Black,Female,48.9,"2,657.8"
1922,Black,Female,53.0,"2,476.1"
1921,Black,Female,51.3,"2,475.0"
1920,Black,Female,45.2,"2,756.2"
1919,Black,Female,44.4,"2,663.2"
1918,Black,Female,32.5,"3,304.3"
1917,Black,Female,40.8,"2,970.6"
1916,Black,Female,43.1,"2,853.6"
1915,Black,Female,40.5,"2,948.8"
1914,Black,Female,40.8,"2,810.1"
1913,Black,Female,40.3,"2,802.7"
1912,Black,Female,40.0,"2,807.7"
1911,Black,Female,38.2,"2,899.8"
1910,Black,Female,37.5,"2,875.3"
1909,Black,Female,37.3,"2,875.6"
1908,Black,Female,36.0,"2,963.6"
1907,Black,Female,34.0,"3,179.3"
1906,Black,Female,33.9,"3,115.4"
1905,Black,Female,33.1,"3,247.5"
1904,Black,Female,32.7,"3,362.4"
1903,Black,Female,34.6,"3,210.9"
1902,Black,Female,36.4,"3,003.4"
1901,Black,Female,35.3,"3,167.2"
1900,Black,Female,33.5,"3,308.0"
