Year,Race,Sex,AverageLifeExpectancy,Age-adjusted Death Rate
2015,White,Male,76.7,861.9
2014,White,Male,76.7,853.4
2013,White,Male,76.7,859.2
2012,White,Male,76.7,860.0
2011,White,Male,76.6,870.2
2010,White,Male,76.5,878.5
2009,White,Male,76.4,880.5
2008,White,Male,76.1,907.1
2007,White,Male,76.0,907.1
2006,White,Male,75.8,925.8
2005,White,Male,75.5,952.9
2004,White,Male,75.5,953.2
2003,White,Male,75.1,988.8
2002,White,Male,74.9,"1,009.0"
2001,White,Male,74.9,"1,012.1"
2000,White,Male,74.7,"1,029.4"
1999,White,Male,74.6,"1,040.1"
1998,White,Male,74.5,"1,041.6"
1997,White,Male,74.3,"1,058.7"
1996,White,Male,73.9,"1,082.5"
1995,White,Male,73.4,"1,107.2"
1994,White,Male,73.3,"1,118.4"
1993,White,Male,73.1,"1,138.7"
1992,White,Male,73.2,"1,122.2"
1991,White,Male,72.9,"1,142.8"
1990,White,Male,72.7,"1,165.3"
1989,White,Male,72.5,"1,176.0"
1988,White,Male,72.2,"1,215.5"
1987,White,Male,72.1,"1,213.1"
1986,White,Male,71.9,"1,230.5"
1985,White,Male,71.8,"1,249.5"
1984,White,Male,71.8,"1,245.5"
1983,White,Male,71.6,"1,259.8"
1982,White,Male,71.5,"1,255.9"
1981,White,Male,71.1,"1,282.4"
1980,White,Male,70.7,"1,317.4"
1979,White,Male,70.8,"1,289.5"
1978,White,Male,70.4,"1,332.5"
1977,White,Male,70.2,"1,343.5"
1976,White,Male,69.9,"1,379.5"
1975,White,Male,69.5,"1,391.1"
1974,White,Male,69.0,"1,450.8"
1973,White,Male,68.5,"1,507.2"
1972,White,Male,68.3,"1,520.2"
1971,White,Male,68.3,"1,514.4"
1970,White,Male,68.0,"1,513.7"
1969,White,Male,67.7,"1,570.4"
1968,White,Male,67.5,"1,602.7"
1967,White,Male,67.8,"1,566.9"
1966,White,Male,67.5,"1,595.7"
1965,White,Male,67.6,"1,589.9"
1964,White,Male,67.7,"1,572.0"
1963,White,Male,67.4,"1,614.7"
1962,White,Male,67.7,"1,579.1"
1961,White,Male,67.8,"1,547.3"
1960,White,Male,67.4,"1,586.0"
1959,White,Male,67.5,"1,552.1"
1958,White,Male,67.4,"1,573.1"
1957,White,Male,67.2,"1,581.7"
1956,White,Male,67.5,"1,554.4"
1955,White,Male,67.4,"1,544.7"
1954,White,Male,67.5,"1,516.3"
1953,White,Male,66.8,"1,589.0"
1952,White,Male,66.6,"1,588.5"
1951,White,Male,66.5,"1,621.7"
1950,White,Male,66.5,"1,642.5"
1949,White,Male,66.2,"1,647.8"
1948,White,Male,65.5,"1,691.2"
1947,White,Male,65.2,"1,718.6"
1946,White,Male,65.1,"1,706.1"
1945,White,Male,64.4,"1,761.6"
1944,White,Male,64.5,"1,788.0"
1943,White,Male,63.2,"1,872.9"
1942,White,Male,65.9,"1,793.7"
1941,White,Male,64.4,"1,844.1"
1940,White,Male,62.1,"1,925.2"
1939,White,Male,63.3,"1,894.4"
1938,White,Male,63.2,"1,882.7"
1937,White,Male,59.3,"2,016.5"
1936,White,Male,58.0,"2,087.0"
1935,White,Male,61.0,"1,979.3"
1934,White,Male,60.5,"2,000.7"
1933,White,Male,62.7,"1,952.2"
1932,White,Male,62.0,"1,982.9"
1931,White,Male,60.8,"1,983.6"
1930,White,Male,59.7,"2,013.8"
1929,White,Male,57.2,"2,141.2"
1928,White,Male,57.0,"2,182.8"
1927,White,Male,60.5,"2,048.6"
1926,White,Male,57.0,"2,190.6"
1925,White,Male,59.3,"2,104.4"
1924,White,Male,59.8,"2,073.7"
1923,White,Male,57.1,"2,174.2"
1922,White,Male,59.1,"2,088.2"
1921,White,Male,60.8,"1,986.2"
1920,White,Male,54.4,"2,166.6"
1919,White,Male,54.5,"2,096.0"
1918,White,Male,37.1,"2,680.7"
1917,White,Male,49.3,"2,375.9"
1916,White,Male,50.2,"2,365.6"
1915,White,Male,53.1,"2,267.8"
1914,White,Male,52.7,"2,254.1"
1913,White,Male,50.8,"2,322.1"
1912,White,Male,51.9,"2,327.5"
1911,White,Male,51.3,"2,350.3"
1910,White,Male,48.6,"2,441.9"
1909,White,Male,50.9,"2,363.8"
1908,White,Male,49.9,"2,412.3"
1907,White,Male,46.0,"2,637.0"
1906,White,Male,47.3,"2,529.3"
1905,White,Male,47.6,"2,544.7"
1904,White,Male,46.6,"2,630.5"
1903,White,Male,49.5,"2,494.2"
1902,White,Male,50.2,"2,430.1"
1901,White,Male,48.0,"2,582.3"
1900,White,Male,46.6,"2,613.2"
