Year,Race,Sex,AverageLifeExpectancy,Age-adjusted Death Rate
2015,Black,Both Sexes,75.6,851.9
2014,Black,Both Sexes,75.6,849.3
2013,Black,Both Sexes,75.5,860.8
2012,Black,Both Sexes,75.5,864.8
2011,Black,Both Sexes,75.3,877.1
2010,Black,Both Sexes,75.1,898.2
2009,Black,Both Sexes,74.7,912.8
2008,Black,Both Sexes,74.3,947.6
2007,Black,Both Sexes,73.8,972.0
2006,Black,Both Sexes,73.4,997.9
2005,Black,Both Sexes,73.0,"1,035.1"
2004,Black,Both Sexes,72.9,"1,043.8"
2003,Black,Both Sexes,72.4,"1,080.5"
2002,Black,Both Sexes,72.2,"1,097.3"
2001,Black,Both Sexes,72.0,"1,106.2"
2000,Black,Both Sexes,71.8,"1,121.4"
1999,Black,Both Sexes,71.4,"1,135.7"
1998,Black,Both Sexes,71.3,"1,127.1"
1997,Black,Both Sexes,71.1,"1,139.2"
1996,Black,Both Sexes,70.2,"1,177.6"
1995,Black,Both Sexes,69.6,"1,213.6"
1994,Black,Both Sexes,69.5,"1,216.2"
1993,Black,Both Sexes,69.2,"1,240.2"
1992,Black,Both Sexes,69.6,"1,205.3"
1991,Black,Both Sexes,69.3,"1,233.6"
1990,Black,Both Sexes,69.1,"1,248.5"
1989,Black,Both Sexes,68.8,"1,273.5"
1988,Black,Both Sexes,68.9,"1,281.9"
1987,Black,Both Sexes,69.1,"1,260.9"
1986,Black,Both Sexes,69.1,"1,264.6"
1985,Black,Both Sexes,69.3,"1,259.1"
1984,Black,Both Sexes,69.5,"1,234.5"
1983,Black,Both Sexes,69.4,"1,239.8"
1982,Black,Both Sexes,69.4,"1,220.1"
1981,Black,Both Sexes,68.9,"1,256.5"
1980,Black,Both Sexes,68.1,"1,312.9"
1979,Black,Both Sexes,68.5,"1,238.5"
1978,Black,Both Sexes,68.1,"1,267.7"
1977,Black,Both Sexes,67.7,"1,286.0"
1976,Black,Both Sexes,67.2,"1,311.2"
1975,Black,Both Sexes,66.8,"1,327.5"
1974,Black,Both Sexes,66.0,"1,397.7"
1973,Black,Both Sexes,65.0,"1,473.3"
