Year,Race,Sex,AverageLifeExpectancy,Age-adjusted Death Rate
2015,Black,Male,72.5,"1,040.3"
2014,Black,Male,72.5,"1,034.0"
2013,Black,Male,72.3,"1,052.8"
2012,Black,Male,72.3,"1,058.6"
2011,Black,Male,72.2,"1,067.1"
2010,Black,Male,71.8,"1,104.0"
2009,Black,Male,71.4,"1,123.1"
2008,Black,Male,70.9,"1,168.0"
2007,Black,Male,70.3,"1,204.8"
2006,Black,Male,69.9,"1,239.5"
2005,Black,Male,69.5,"1,281.3"
2004,Black,Male,69.4,"1,296.9"
2003,Black,Male,68.9,"1,343.5"
2002,Black,Male,68.7,"1,364.8"
2001,Black,Male,68.5,"1,380.5"
2000,Black,Male,68.2,"1,403.5"
1999,Black,Male,67.8,"1,432.6"
1998,Black,Male,67.6,"1,429.8"
1997,Black,Male,67.2,"1,458.2"
1996,Black,Male,66.1,"1,523.2"
1995,Black,Male,65.2,"1,585.2"
1994,Black,Male,64.9,"1,591.9"
1993,Black,Male,64.6,"1,631.1"
1992,Black,Male,65.0,"1,586.2"
1991,Black,Male,64.6,"1,624.1"
1990,Black,Male,64.5,"1,642.4"
1989,Black,Male,64.3,"1,666.1"
1988,Black,Male,64.4,"1,673.1"
1987,Black,Male,64.7,"1,646.3"
1986,Black,Male,64.8,"1,648.4"
1985,Black,Male,65.0,"1,632.9"
1984,Black,Male,65.3,"1,597.1"
1983,Black,Male,65.2,"1,600.5"
1982,Black,Male,65.1,"1,580.0"
1981,Black,Male,64.5,"1,626.6"
1980,Black,Male,63.8,"1,695.5"
1979,Black,Male,64.0,"1,601.5"
1978,Black,Male,63.7,"1,626.9"
1977,Black,Male,63.4,"1,647.9"
1976,Black,Male,62.9,"1,676.0"
1975,Black,Male,62.4,"1,697.0"
1974,Black,Male,61.7,"1,769.5"
1973,Black,Male,60.9,"1,849.5"
1972,Black,Male,60.4,"1,871.8"
1971,Black,Male,60.5,"1,836.1"
1970,Black,Male,60.0,"1,873.9"
1969,Black,Male,60.6,"1,934.4"
1968,Black,Male,60.4,"1,976.8"
1967,Black,Male,61.4,"1,767.2"
1966,Black,Male,60.9,"1,832.4"
1965,Black,Male,61.2,"1,791.0"
1964,Black,Male,61.3,"1,768.1"
1963,Black,Male,61.0,"1,859.0"
1962,Black,Male,61.6,"1,775.4"
1961,Black,Male,62.0,"1,713.3"
1960,Black,Male,61.1,"1,777.6"
1959,Black,Male,61.3,"1,724.7"
1958,Black,Male,61.0,"1,779.2"
1957,Black,Male,60.7,"1,797.0"
1956,Black,Male,61.3,"1,724.1"
1955,Black,Male,61.4,"1,707.5"
1954,Black,Male,61.1,"1,726.6"
1953,Black,Male,59.7,"1,863.1"
1952,Black,Male,59.1,"1,894.1"
1951,Black,Male,59.2,"1,903.4"
1950,Black,Male,59.1,"1,949.5"
1949,Black,Male,58.9,"1,915.4"
1948,Black,Male,58.1,"1,954.3"
1947,Black,Male,57.9,"1,922.8"
1946,Black,Male,57.5,"1,878.6"
1945,Black,Male,56.1,"2,002.7"
1944,Black,Male,55.8,"2,084.9"
1943,Black,Male,55.4,"2,189.9"
1942,Black,Male,55.4,"2,187.8"
1941,Black,Male,52.5,"2,351.1"
1940,Black,Male,51.5,"2,458.9"
1939,Black,Male,53.2,"2,328.1"
1938,Black,Male,51.7,"2,384.3"
1937,Black,Male,48.3,"2,596.1"
1936,Black,Male,47.0,"2,722.4"
1935,Black,Male,51.3,"2,502.9"
1934,Black,Male,50.2,"2,567.5"
1933,Black,Male,53.5,"2,452.1"
1932,Black,Male,52.8,"2,550.0"
1931,Black,Male,49.5,"2,680.3"
1930,Black,Male,47.3,"2,845.5"
1929,Black,Male,45.7,"3,012.6"
1928,Black,Male,45.6,"2,980.3"
1927,Black,Male,47.6,"2,801.1"
1926,Black,Male,43.7,"3,054.7"
1925,Black,Male,44.9,"3,000.7"
1924,Black,Male,45.5,"2,947.0"
1923,Black,Male,47.7,"2,803.9"
1922,Black,Male,51.8,"2,560.4"
1921,Black,Male,51.6,"2,461.2"
1920,Black,Male,45.5,"2,748.4"
1919,Black,Male,44.5,"2,650.0"
1918,Black,Male,29.9,"3,532.5"
1917,Black,Male,37.0,"3,172.8"
1916,Black,Male,39.6,"3,035.1"
1915,Black,Male,37.5,"3,104.1"
1914,Black,Male,37.1,"3,017.4"
1913,Black,Male,36.7,"3,011.9"
1912,Black,Male,35.9,"3,114.2"
1911,Black,Male,34.6,"3,094.2"
1910,Black,Male,33.8,"3,087.5"
1909,Black,Male,34.2,"3,149.0"
1908,Black,Male,33.8,"3,140.0"
1907,Black,Male,31.1,"3,408.1"
1906,Black,Male,31.8,"3,341.0"
1905,Black,Male,29.6,"3,654.7"
1904,Black,Male,29.1,"3,845.7"
1903,Black,Male,31.7,"3,546.5"
1902,Black,Male,32.9,"3,399.8"
1901,Black,Male,32.2,"3,524.8"
1900,Black,Male,32.5,"3,576.5"
