Year,Race,Sex,AverageLifeExpectancy,Age-adjusted Death Rate
2015,All Races,Female,81.3,624.2
2014,All Races,Female,81.3,616.7
2013,All Races,Female,81.2,623.5
2012,All Races,Female,81.2,624.7
2011,All Races,Female,81.1,632.4
2010,All Races,Female,81.0,634.9
2009,All Races,Female,80.9,636.8
2008,All Races,Female,80.6,660.0
2007,All Races,Female,80.6,658.1
2006,All Races,Female,80.3,672.2
2005,All Races,Female,80.1,692.3
2004,All Races,Female,80.1,690.5
2003,All Races,Female,79.7,715.2
2002,All Races,Female,79.6,723.6
2001,All Races,Female,79.5,725.6
2000,All Races,Female,79.7,731.4
1999,All Races,Female,79.4,734.0
1998,All Races,Female,79.5,724.2
1997,All Races,Female,79.4,725.3
1996,All Races,Female,79.1,732.7
1995,All Races,Female,78.9,739.2
1994,All Races,Female,79.0,738.3
1993,All Races,Female,78.8,745.6
1992,All Races,Female,79.1,725.3
1991,All Races,Female,78.9,737.9
1990,All Races,Female,78.8,750.3
1989,All Races,Female,78.5,761.3
1988,All Races,Female,78.3,780.5
1987,All Races,Female,78.3,773.8
1986,All Races,Female,78.2,778.5
1985,All Races,Female,78.2,784.2
1984,All Races,Female,78.2,779.4
1983,All Races,Female,78.1,783.3
1982,All Races,Female,78.1,776.4
1981,All Races,Female,77.8,792.7
1980,All Races,Female,77.4,817.7
1979,All Races,Female,77.8,789.9
1978,All Races,Female,77.3,816.4
1977,All Races,Female,77.2,820.7
1976,All Races,Female,76.8,849.4
1975,All Races,Female,76.6,855.1
1974,All Races,Female,75.9,907.5
1973,All Races,Female,75.3,947.8
1972,All Races,Female,75.1,958.7
1971,All Races,Female,75.0,960.6
1970,All Races,Female,74.7,971.4
1969,All Races,Female,74.4,"1,013.4"
1968,All Races,Female,74.1,"1,043.5"
1967,All Races,Female,74.3,"1,020.5"
1966,All Races,Female,73.9,"1,055.3"
1965,All Races,Female,73.8,"1,056.1"
1964,All Races,Female,73.7,"1,061.5"
1963,All Races,Female,73.4,"1,098.5"
1962,All Races,Female,73.5,"1,087.1"
1961,All Races,Female,73.6,"1,068.5"
1960,All Races,Female,73.1,"1,105.3"
1959,All Races,Female,73.2,"1,093.5"
1958,All Races,Female,72.9,"1,120.9"
1957,All Races,Female,72.7,"1,134.5"
1956,All Races,Female,72.9,"1,117.5"
1955,All Races,Female,72.8,"1,121.9"
1954,All Races,Female,72.8,"1,109.7"
1953,All Races,Female,72.0,"1,172.6"
1952,All Races,Female,71.6,"1,186.7"
1951,All Races,Female,71.4,"1,213.4"
1950,All Races,Female,71.1,"1,236.0"
1949,All Races,Female,70.7,"1,252.6"
1948,All Races,Female,69.9,"1,296.4"
1947,All Races,Female,69.7,"1,332.5"
1946,All Races,Female,69.4,"1,342.8"
1945,All Races,Female,67.9,"1,376.8"
1944,All Races,Female,66.8,"1,428.4"
1943,All Races,Female,64.4,"1,507.8"
1942,All Races,Female,67.9,"1,444.7"
1941,All Races,Female,66.8,"1,502.4"
1940,All Races,Female,65.2,"1,599.4"
1939,All Races,Female,65.4,"1,599.8"
1938,All Races,Female,65.3,"1,599.1"
1937,All Races,Female,62.4,"1,695.1"
1936,All Races,Female,60.6,"1,780.6"
1935,All Races,Female,63.9,"1,690.6"
1934,All Races,Female,63.3,"1,720.7"
1933,All Races,Female,65.1,"1,699.1"
1932,All Races,Female,63.5,"1,758.4"
1931,All Races,Female,63.1,"1,743.6"
1930,All Races,Female,61.6,"1,798.3"
1929,All Races,Female,58.7,"1,940.9"
1928,All Races,Female,58.3,"1,990.5"
1927,All Races,Female,62.1,"1,863.8"
1926,All Races,Female,58.0,"2,028.0"
1925,All Races,Female,60.6,"1,957.1"
1924,All Races,Female,61.5,"1,927.2"
1923,All Races,Female,58.5,"2,050.5"
1922,All Races,Female,61.0,"1,965.1"
1921,All Races,Female,61.8,"1,890.4"
1920,All Races,Female,54.6,"2,081.3"
1919,All Races,Female,56.0,"1,973.1"
1918,All Races,Female,42.2,"2,342.8"
1917,All Races,Female,54.0,"2,119.9"
1916,All Races,Female,54.3,"2,123.3"
1915,All Races,Female,56.8,"2,044.3"
1914,All Races,Female,56.8,"2,009.0"
1913,All Races,Female,55.0,"2,058.1"
1912,All Races,Female,55.9,"2,067.2"
1911,All Races,Female,54.4,"2,112.1"
1910,All Races,Female,51.8,"2,171.3"
1909,All Races,Female,53.8,"2,111.5"
1908,All Races,Female,52.8,"2,162.3"
1907,All Races,Female,49.9,"2,327.3"
1906,All Races,Female,50.8,"2,244.6"
1905,All Races,Female,50.2,"2,287.7"
1904,All Races,Female,49.1,"2,358.8"
1903,All Races,Female,52.0,"2,250.6"
1902,All Races,Female,53.4,"2,162.8"
1901,All Races,Female,50.6,"2,350.5"
1900,All Races,Female,48.3,"2,410.4"
