Year,Race,Sex,AverageLifeExpectancy,Age-adjusted Death Rate
2015,White,Both Sexes,79.1,735.0
2014,White,Both Sexes,79.1,725.4
2013,White,Both Sexes,79.1,731.0
2012,White,Both Sexes,79.1,730.9
2011,White,Both Sexes,79.0,738.8
2010,White,Both Sexes,78.9,741.8
2009,White,Both Sexes,78.8,742.8
2008,White,Both Sexes,78.5,767.2
2007,White,Both Sexes,78.5,764.3
2006,White,Both Sexes,78.3,779.3
2005,White,Both Sexes,78.0,801.1
2004,White,Both Sexes,78.1,798.5
2003,White,Both Sexes,77.7,827.1
2002,White,Both Sexes,77.5,839.0
2001,White,Both Sexes,77.5,840.7
2000,White,Both Sexes,77.3,849.8
1999,White,Both Sexes,77.3,854.6
1998,White,Both Sexes,77.3,848.9
1997,White,Both Sexes,77.1,855.4
1996,White,Both Sexes,76.8,868.7
1995,White,Both Sexes,76.5,882.0
1994,White,Both Sexes,76.5,885.3
1993,White,Both Sexes,76.3,896.8
1992,White,Both Sexes,76.5,877.5
1991,White,Both Sexes,76.3,893.0
1990,White,Both Sexes,76.1,909.2
1989,White,Both Sexes,75.9,919.8
1988,White,Both Sexes,75.6,947.2
1987,White,Both Sexes,75.6,943.2
1986,White,Both Sexes,75.4,952.8
1985,White,Both Sexes,75.3,963.4
1984,White,Both Sexes,75.3,959.4
1983,White,Both Sexes,75.2,967.4
1982,White,Both Sexes,75.1,963.5
1981,White,Both Sexes,74.8,984.0
1980,White,Both Sexes,74.4,"1,012.5"
1979,White,Both Sexes,74.6,986.8
1978,White,Both Sexes,74.1,"1,020.1"
1977,White,Both Sexes,74.0,"1,027.1"
1976,White,Both Sexes,73.6,"1,060.0"
1975,White,Both Sexes,73.4,"1,069.4"
1974,White,Both Sexes,72.8,"1,125.2"
1973,White,Both Sexes,72.2,"1,171.5"
1972,White,Both Sexes,72.0,"1,185.3"
1971,White,Both Sexes,72.0,"1,183.8"
1970,White,Both Sexes,71.7,"1,193.3"
1969,White,Both Sexes,71.4,"1,240.2"
1968,White,Both Sexes,71.1,"1,271.4"
1967,White,Both Sexes,71.4,"1,246.4"
1966,White,Both Sexes,71.1,"1,278.7"
1965,White,Both Sexes,71.1,"1,278.3"
1964,White,Both Sexes,71.0,"1,275.2"
1963,White,Both Sexes,70.8,"1,312.5"
1962,White,Both Sexes,70.9,"1,292.4"
1961,White,Both Sexes,71.0,"1,272.2"
1960,White,Both Sexes,70.6,"1,311.3"
1959,White,Both Sexes,70.7,"1,291.9"
1958,White,Both Sexes,70.5,"1,316.3"
1957,White,Both Sexes,70.3,"1,328.7"
1956,White,Both Sexes,70.5,"1,309.0"
1955,White,Both Sexes,70.5,"1,308.3"
1954,White,Both Sexes,70.5,"1,288.6"
1953,White,Both Sexes,69.7,"1,354.6"
1952,White,Both Sexes,69.5,"1,361.7"
1951,White,Both Sexes,69.3,"1,391.0"
1950,White,Both Sexes,69.1,"1,410.8"
1949,White,Both Sexes,68.8,"1,424.3"
1948,White,Both Sexes,68.0,"1,469.9"
1947,White,Both Sexes,67.6,"1,503.5"
1946,White,Both Sexes,67.5,"1,505.0"
1945,White,Both Sexes,66.8,"1,544.3"
1944,White,Both Sexes,66.2,"1,582.8"
1943,White,Both Sexes,64.2,"1,665.8"
1942,White,Both Sexes,67.3,"1,594.8"
1941,White,Both Sexes,66.2,"1,645.0"
1940,White,Both Sexes,64.2,"1,735.3"
1939,White,Both Sexes,64.9,"1,724.0"
1938,White,Both Sexes,65.0,"1,714.8"
1937,White,Both Sexes,61.4,"1,829.1"
1936,White,Both Sexes,59.8,"1,906.6"
1935,White,Both Sexes,62.9,"1,809.9"
1934,White,Both Sexes,62.4,"1,834.0"
1933,White,Both Sexes,64.3,"1,800.5"
1932,White,Both Sexes,63.2,"1,845.1"
1931,White,Both Sexes,62.6,"1,832.5"
1930,White,Both Sexes,61.4,"1,870.7"
1929,White,Both Sexes,58.6,"2,006.8"
1928,White,Both Sexes,58.4,"2,053.0"
1927,White,Both Sexes,62.0,"1,925.6"
1926,White,Both Sexes,58.2,"2,078.8"
1925,White,Both Sexes,60.7,"1,999.1"
1924,White,Both Sexes,61.4,"1,968.7"
1923,White,Both Sexes,58.3,"2,087.0"
1922,White,Both Sexes,60.4,"2,004.4"
1921,White,Both Sexes,61.8,"1,914.9"
1920,White,Both Sexes,54.9,"2,096.3"
1919,White,Both Sexes,55.8,"2,005.6"
1918,White,Both Sexes,39.8,"2,477.7"
1917,White,Both Sexes,52.0,"2,221.5"
1916,White,Both Sexes,52.5,"2,223.9"
1915,White,Both Sexes,55.1,"2,139.4"
1914,White,Both Sexes,54.9,"2,116.8"
1913,White,Both Sexes,53.0,"2,176.7"
1912,White,Both Sexes,53.9,"2,187.9"
1911,White,Both Sexes,53.0,"2,221.3"
1910,White,Both Sexes,50.3,"2,299.4"
1909,White,Both Sexes,52.5,"2,228.5"
1908,White,Both Sexes,51.5,"2,278.1"
1907,White,Both Sexes,48.1,"2,470.8"
1906,White,Both Sexes,49.3,"2,374.8"
1905,White,Both Sexes,49.1,"2,404.1"
1904,White,Both Sexes,48.0,"2,481.9"
1903,White,Both Sexes,50.9,"2,359.8"
1902,White,Both Sexes,51.9,"2,284.3"
1901,White,Both Sexes,49.4,"2,456.2"
1900,White,Both Sexes,47.6,"2,501.2"
